[2025-05-16 17:00:02] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 21:20:01] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:02] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:02] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
