[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 05:50:41] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 08:14:05] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:05] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:05] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:06] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:06] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 76d0c8b1-2581-4e39-a856-492706bdb8f8 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: f7cc364c-8cd1-44f6-9715-da540d961ac9 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:07] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:07] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: fa503b34-3e5e-438f-bee9-4eeee435ea26 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: 5e0d1902-6088-4aed-8880-422236841832 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: 76d0c8b1-2581-4e39-a856-492706bdb8f8 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: f7cc364c-8cd1-44f6-9715-da540d961ac9 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:08] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:08] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
[2025-05-17 08:14:09] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -36.00 | Diff: 182.76%
[2025-05-17 08:14:09] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.31 | Diff: 199.56%
